1,Fine Arts,NULL,NULL
2,Business & Economics,NULL,NULL
3,Political Sciences,NULL,NULL
4,Law,NULL,NULL
5,Arts,NULL,NULL
6,Design,NULL,NULL
7,Communication,NULL,NULL
8,Music and Performing Arts,NULL,NULL
9,Vocational School,NULL,NULL
10,Vocational School Of Health Services,NULL,NULL
11,Vocational School Of Justice,NULL,NULL
12,Aviation ,NULL,NULL
13,"Economics, Administrative and Social Science",NULL,NULL
14,Engineering,NULL,NULL
15,Educational Science,NULL,NULL
16,Tourism ,NULL,NULL
17,Health Science,NULL,NULL
18,Pharmacy,NULL,NULL
19,Agricultural Sciences & Technologies,NULL,NULL
20,Arts & Science,NULL,NULL
21,Economics & Administrative Sciences,NULL,NULL
22,Education,NULL,NULL
23,Architecture,NULL,NULL
24,Medicine,NULL,NULL
25,Dentistry,NULL,NULL
26,Applied Sciences,NULL,NULL
27,Tourism & Hotel Management,NULL,NULL
28,Miscellaneous,NULL,NULL
29,Vocational School Of Applied Sciences,NULL,NULL
30,Vocational School Of Aviation ,NULL,NULL
31,Vocational School Of Culinary Arts,NULL,NULL
32,Fine Arts And Design,NULL,NULL
33,Communication & Media Studies,NULL,NULL
34,Tourism and Hospitality Management,NULL,NULL
35,Computing and Technoloy,NULL,NULL
36,Ataturk Faculty Of Education,NULL,NULL
37,Civil & Environmental Engineering,NULL,NULL
38,"Economics, and Administrative Science",NULL,NULL
39,Fine Arts ,NULL,NULL
40,Nursing,NULL,NULL
41,Performing Arts,NULL,NULL
42,Theology,NULL,NULL
43,Veterinary Medicine,NULL,NULL
44,Justice,NULL,NULL
45,Tourism And Hotel Management,NULL,NULL
46,Physical Education And Sports,NULL,NULL
47,Education Sciences,NULL,NULL
48,Criminal Sciences,NULL,NULL
49,Health Science - Pharmacy,NULL,NULL
50,Health Science - Medicine,NULL,NULL
51,Health Science - Health Sciences,NULL,NULL
52,Health Science - Nursing,NULL,NULL
53,Health Science - Veternary Medicine,NULL,NULL
54,Social Sciences,NULL,NULL
55,Physical Education & Sport,NULL,NULL
56,Open And Distance Learning,NULL,NULL
57,Vocational School Of Hotel Management,NULL,NULL
58,Vocational School Of Maritime,NULL,NULL
59,Vocational School Of Foreign Language,NULL,NULL
60,Maritime Studies,NULL,NULL
61,Aviation And Space Sciences,NULL,NULL
62,Economics and Administrative Science,NULL,NULL
63,Tourism,NULL,NULL
64,Health Sciences - Dentistry,NULL,NULL
